n_sample,model,seconds,accuracy
45,dask_myKnn_slow,1424.170407,0.733333333
50,dask_myKnn_slow,1782.106771,0.705882353
50,myKnn,0.647269964,0.48
50,dask_myKnn,2.21933794,0.48
50,knn,0.324132919,0.28
50,svm,0.223376989,0.32
50,bays,0.300215483,0.48
50,nn,21.37092376,0.58
50,tree,0.160578728,0.34
50,forest,21.58635139,0.46
50,adaboost,11.31279945,0.18
50,dask_knn,5.189856529,0.28
50,dask_svm,1.311833382,0.32
50,dask_bays,1.517064095,0.48
50,dask_nn,31.68189955,0.62
50,dask_tree,1.479274988,0.34
50,dask_forest,76.68730402,0.48
50,dask_adaboost,14.37035656,0.16
100,myKnn,1.689482689,0.57
100,dask_myKnn,3.384359598,0.57
100,knn,0.369058847,0.43
100,svm,0.327125072,0.64
100,bays,0.310171127,0.42
100,nn,26.67270279,0.61
100,tree,0.238348722,0.24
100,forest,22.4760251,0.46
100,adaboost,11.93717408,0.17
100,dask_knn,7.806404591,0.43
100,dask_svm,1.317799568,0.64
100,dask_bays,1.677815914,0.42
100,dask_nn,34.07733107,0.59
100,dask_tree,1.358636141,0.23
100,dask_forest,80.40611982,0.46
100,dask_adaboost,14.85373259,0.18
500,myKnn,28.86404991,0.832
500,dask_myKnn,35.41794658,0.832
500,knn,1.033272028,0.778
500,svm,1.951785326,0.862
500,bays,0.29421401,0.678
500,nn,132.0054536,0.818
500,tree,0.770955324,0.458
500,forest,31.99756336,0.774
500,adaboost,17.00755239,0.46
500,dask_knn,11.50980282,0.778
500,dask_svm,2.227464676,0.862
500,dask_bays,2.106471062,0.678
500,dask_nn,89.55849147,0.814
500,dask_tree,1.994959116,0.46
500,dask_forest,94.51903057,0.76
500,dask_adaboost,17.05881596,0.46
